Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.77     0.00   243774     0.00     0.00  std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, int>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, int> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::lower_bound(std::vector<int, std::allocator<int> > const&)
  0.00      0.77     0.00   243774     0.00     0.00  std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, int>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, int> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::end()
  0.00      0.77     0.00   243722     0.00     0.00  std::map<std::vector<int, std::allocator<int> >, int, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::key_comp() const
  0.00      0.77     0.00   243722     0.00     0.00  std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, int>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, int> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::key_comp() const
  0.00      0.77     0.00   199867     0.00     0.00  __gnu_cxx::__aligned_buffer<long long>::_M_ptr()
  0.00      0.77     0.00   199867     0.00     0.00  __gnu_cxx::__aligned_buffer<long long>::_M_addr()
  0.00      0.77     0.00   199867     0.00     0.00  std::__detail::_Hash_node_value_base<long long>::_M_valptr()
  0.00      0.77     0.00   167200     0.00     0.00  __gnu_cxx::__aligned_buffer<long long>::_M_ptr() const
  0.00      0.77     0.00   167200     0.00     0.00  __gnu_cxx::__aligned_buffer<long long>::_M_addr() const
  0.00      0.77     0.00   167200     0.00     0.00  std::__detail::_Hash_code_base<long long, long long, std::__detail::_Identity, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<long long, false> const*, unsigned long) const
  0.00      0.77     0.00   167200     0.00     0.00  std::__detail::_Hash_node_value_base<long long>::_M_v() const
  0.00      0.77     0.00   167200     0.00     0.00  std::__detail::_Hash_node_value_base<long long>::_M_valptr() const
  0.00      0.77     0.00   100500     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
